スキル系統,最小,最大
装填速度,-3,4
反動,-3,3
本気,-3,4
護石王,-8,10
痛撃,-3,3
属性耐性,-3,3
攻撃,-10,10
防御,-10,10
達人,-10,10
砲術,-10,10
回避性能,-3,4
体力,-10,13
聴覚保護,-3,3
斬れ味,-3,3
ガード性能,-3,4
ガード強化,-3,4
研ぎ師,-10,8
底力,-3,4
爆弾強化,-10,10
特殊攻撃,-10,4
スタミナ,-3,3
重撃,-3,3
回避距離,-3,4
納刀,-10,4
溜め短縮,-3,3
減気攻撃,-3,4
通常弾強化,-3,3
貫通弾強化,-3,3
散弾強化,-3,3
KO,-3,4
火属性攻撃,-10,13
水属性攻撃,-10,13
雷属性攻撃,-10,13
氷属性攻撃,-10,13
龍属性攻撃,-10,13
火耐性,-10,13
水耐性,-10,13
雷耐性,-10,13
氷耐性,-10,13
龍耐性,-10,13
千里眼,-10,12
回復量,-3,4
広域,-10,12
笛,-10,10
体術,-3,4
気力回復,-3,4
風圧,-10,3
食事,-3,3
采配,-10,10
号令,-10,10
回復速度,-10,12
加護,-10,9
腹減り,-10,10
気絶,-10,13
燃鱗,-10,10
乗り,-5,5
