スキル系統,最小,最大
刀匠,-2,3
射手,-2,3
状態耐性,-2,3
怒,-2,3
属性解放,-5,7
剣術,-3,3
匠,-3,3
抜刀会心,-3,3
抜刀減気,-3,3
装填速度,-1,4
反動,-1,3
速射,-3,3
本気,-1,4
闘魂,-3,3
不動,-3,3
痛撃,-1,3
属性耐性,-1,3
攻撃,-8,14
防御,-8,10
剥ぎ取り,-5,7
運気,-5,7
捕獲,-5,7
達人,-8,14
砲術,-8,14
回避性能,-1,9
体力,-8,11
聴覚保護,-1,3
斬れ味,-1,3
ガード性能,-1,4
ガード強化,-1,4
研ぎ師,-8,8
底力,-1,4
爆弾強化,-8,10
特殊攻撃,-8,4
スタミナ,-1,3
重撃,-1,3
回避距離,-1,4
納刀,-8,4
溜め短縮,-1,3
減気攻撃,-1,4
無傷,-3,3
根性,-3,3
装填数,-3,3
通常弾強化,-1,3
貫通弾強化,-1,3
散弾強化,-1,3
KO,-1,4
火属性攻撃,-8,10
水属性攻撃,-8,10
雷属性攻撃,-8,10
氷属性攻撃,-8,10
龍属性攻撃,-8,10
属性攻撃,-3,3
火耐性,-8,11
水耐性,-8,11
雷耐性,-8,11
氷耐性,-8,11
龍耐性,-8,11
千里眼,-8,10
回復量,-1,4
広域,-8,10
笛,-8,10
逆境,-3,3
肉食,-5,5
体術,-1,4
気力回復,-1,4
風圧,-8,3
食事,-1,3
采配,1,10
号令,1,10
回復速度,-8,11
加護,-8,9
腹減り,-8,10
ハチミツ,-5,5
気絶,-8,11
燃鱗,1,10
