スキル系統,最小,最大
KO,-1,6
ガード強化,-1,6
ガード性能,-1,6
スタミナ,-1,5
体力,-3,11
底力,-1,4
体術,-1,6
剣術,-2,7
剥ぎ取り,-5,7
加護,-5,9
匠,-2,7
千里眼,-5,14
反動,-1,5
号令,5,10
回復速度,-3,12
回復量,-1,6
回避性能,-1,9
回避距離,-1,6
射法,2,5
属性会心,2,7
属性攻撃,-2,6
属性耐性,-1,5
属性解放,-2,7
広域,-5,12
抜刀会心,-2,7
抜刀減気,-2,7
捕獲,-5,7
攻撃,-3,14
散弾強化,-1,8
斬れ味,-1,5
本気,-1,6
根性,-2,4
毒,-5,10
気力回復,-1,6
気絶,-5,14
水属性攻撃,-3,14
水耐性,-8,14
氷属性攻撃,-3,14
氷耐性,-8,14
減気攻撃,-1,6
溜め短縮,-1,5
火属性攻撃,-3,14
火耐性,-8,14
無傷,-2,4
爆弾強化,-3,10
特殊会心,2,7
特殊攻撃,-5,4
痛撃,-1,5
研ぎ師,-3,10
砲術,-5,14
笛,-5,10
節食,3,6
納刀,-5,4
聴覚保護,-1,5
肉食,-2,4
茸食,3,6
装填数,-2,7
装填速度,-1,6
貫通弾強化,-1,8
逆境,-2,4
通常弾強化,-1,8
速射,-2,4
運気,-5,7
達人,-5,14
采配,5,10
重撃,-1,5
闘魂,-2,6
防御,-3,10
雷属性攻撃,-3,14
雷耐性,-8,14
風圧,-5,4
食事,-1,5
高速設置,2,10
龍属性攻撃,-3,14
龍耐性,-8,14
