#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーベスト,0,0,1,0,1,1,1,71,-1,0,0,0,1,採取,3,気まぐれ,2,,,,,,,暖かい毛皮,1,竜骨【小】,1,,,,
ブレイブベスト,0,0,1,0,1,1,1,71,2,0,0,0,1,体力,-2,回復速度,2,乗り,3,,,,,竜骨【小】,1,鉄鉱石,1,,,,
チェーンベスト,0,0,1,0,1,1,4,73,2,1,-2,1,0,体力,3,腹減り,1,,,,,,,鉄鉱石,2,暖かい毛皮,1,,,,
ハンターメイル,0,1,1,1,1,1,6,112,0,1,-3,0,0,調合成功率,2,狩人,1,毒,-2,,,,,鉄鉱石,2,ジャギィの鱗,1,竜骨【小】,2,,
ハンターレジスト,0,2,1,1,1,1,3,72,1,2,-2,1,1,調合成功率,2,狩人,1,毒,-2,,,,,鉄鉱石,2,ジャギィの鱗,1,竜骨【小】,2,,
ボーンメイル,0,1,1,1,1,3,7,113,1,0,-1,-2,0,KO,2,笛,1,,,,,,,なぞの骨,2,大きな骨,1,甲虫の腹袋,2,,
ボーンレジスト,0,2,1,1,1,3,4,73,2,1,0,-1,1,KO,2,笛,1,,,,,,,なぞの骨,2,大きな骨,1,甲虫の腹袋,2,,
アロイメイル,0,1,1,1,1,1,8,114,-1,1,-2,-1,0,防御,1,採取,-2,風圧,3,,,,,マカライト鉱石,3,竜骨【小】,2,鉄鉱石,2,,
アロイレジスト,0,2,1,1,1,1,4,73,0,2,-1,0,1,採取,-2,散弾強化,2,散弾追加,2,,,,,マカライト鉱石,3,竜骨【小】,2,鉄鉱石,2,,
ロックラックスーツ,0,0,1,1,1,2,5,73,2,-3,1,0,0,耐暑,5,運搬,3,,,,,,,鋼のたまご,1,甲虫の腹袋,2,ジャギィの皮,3,,
ブナハスーツ,0,1,2,0,1,2,10,116,-4,-1,2,-1,2,攻撃,-2,特殊攻撃,2,納刀,2,麻痺,1,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,雷光虫,1
ブナハベスト,0,2,2,0,1,2,5,73,-3,0,3,0,3,攻撃,-2,特殊攻撃,1,納刀,3,麻痺,1,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,雷光虫,1
ズワロマント,0,1,2,0,2,3,10,116,-2,2,0,-1,1,体力,8,回復速度,2,,,,,,,垂皮竜の皮,4,マカライト鉱石,2,暖かい毛皮,3,,
ズワロケープ,0,2,2,0,2,3,5,73,-1,3,1,0,2,体力,8,回復速度,2,,,,,,,垂皮竜の皮,4,マカライト鉱石,2,暖かい毛皮,3,,
リノプロメイル,0,1,2,1,1,3,8,114,1,-1,-1,-1,1,KO,1,気絶,-2,耐泥耐雪,2,,,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
リノプロレジスト,0,2,2,1,1,3,4,73,2,0,0,0,2,KO,1,気絶,-2,耐泥耐雪,2,,,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
ガブラスーツボディ,0,1,2,1,3,99,15,117,1,-2,2,1,-3,属性解放,2,属性耐性,-1,毒,2,,,,,翼蛇竜の皮,4,火竜の翼膜,2,のりこねバッタ,4,蟲のコイン,1
ガブラスーツウェア,0,2,2,1,3,99,8,74,2,-1,3,2,-2,属性解放,2,属性耐性,-1,毒,2,,,,,翼蛇竜の皮,4,火竜の翼膜,2,のりこねバッタ,4,蟲のコイン,1
ジャギィメイル,0,1,2,0,1,2,10,116,-2,0,0,0,1,研ぎ師,1,効果持続,-1,気絶,2,,,,,王者のエリマキ,1,狗竜の爪,2,ジャギィの皮,3,鉄鉱石,3
ジャギィレジスト,0,2,2,0,1,2,5,73,-1,1,1,1,2,装填速度,1,効果持続,-1,気絶,2,,,,,王者のエリマキ,1,狗竜の爪,2,ジャギィの皮,3,鉄鉱石,3
ゲネポスメイル,0,1,2,1,2,3,12,116,1,1,-2,-3,2,特殊攻撃,2,麻痺,1,,,,,,,ゲネポスの皮,3,ゲネポスの鱗,2,麻痺袋,1,鉄鉱石,3
ゲネポスレジスト,0,2,2,1,2,3,6,73,2,2,-1,-2,3,特殊攻撃,2,麻痺,1,,,,,,,ゲネポスの皮,3,ゲネポスの鱗,2,麻痺袋,1,鉄鉱石,3
イーオスメイル,0,1,2,2,3,5,15,117,0,-3,-3,2,2,特殊攻撃,2,毒,1,気絶,-2,,,,,イーオスの皮,2,毒袋,3,イーオスの鱗,2,マカライト鉱石,3
イーオスレジスト,0,2,2,2,3,5,8,74,1,-2,-2,3,3,特殊攻撃,2,毒,1,気絶,-2,,,,,イーオスの皮,2,毒袋,3,イーオスの鱗,2,マカライト鉱石,3
ウルクメイル,0,1,2,1,2,4,15,117,-2,2,-1,2,2,回避距離,2,耐暑,-1,耐寒,2,,,,,白兎獣の腹甲,2,白兎獣の毛,2,ジャギィの鱗,4,キラビートル,3
ウルクレジスト,0,2,2,1,2,4,8,74,-1,3,0,3,3,回避距離,2,耐暑,-1,耐寒,2,,,,,白兎獣の腹甲,2,白兎獣の毛,2,ジャギィの鱗,4,キラビートル,3
ケチャメイル,0,1,2,2,1,3,14,116,-3,2,-2,0,2,運気,-1,水属性攻撃,1,気まぐれ,1,,,,,奇猿狐の耳,1,奇猿狐の鉤爪,1,奇猿狐の毛,2,のりこねバッタ,2
ケチャレジスト,0,2,2,2,1,3,7,74,-2,3,-1,1,3,運気,-1,水属性攻撃,1,気まぐれ,1,,,,,奇猿狐の耳,1,奇猿狐の鉤爪,1,奇猿狐の毛,2,のりこねバッタ,2
コンガメイル,0,1,2,0,2,4,14,116,-3,1,1,-1,2,細菌学,3,食いしん坊,1,腹減り,-2,,,,,桃毛獣の毛,2,コンガの毛,4,獣骨,2,のりこねバッタ,3
コンガレジスト,0,2,2,0,2,4,7,74,-2,2,2,0,3,細菌学,3,食いしん坊,1,腹減り,-2,,,,,桃毛獣の毛,2,コンガの毛,4,獣骨,2,のりこねバッタ,3
ゲリョスメイル,0,1,2,1,1,3,14,116,-4,1,2,-2,0,スタミナ,2,腹減り,-2,毒,3,,,,,毒袋,1,大地の結晶,1,ゴム質の皮,2,マカライト鉱石,2
ゲリョスレジスト,0,2,2,1,1,3,7,74,-3,2,3,-1,1,スタミナ,2,腹減り,-2,毒,3,,,,,毒袋,1,大地の結晶,1,ゴム質の皮,2,マカライト鉱石,2
カブラメイル,0,1,2,0,1,3,16,118,2,-3,-2,0,1,防御,1,採取,-3,体力,4,,,,,鬼蛙の鱗,2,鬼蛙の爪,1,草食竜の甲殻,3,のりこねバッタ,2
カブラレジスト,0,2,2,0,1,3,8,74,3,-2,-1,1,2,防御,1,採取,-3,体力,4,,,,,鬼蛙の鱗,2,鬼蛙の爪,1,草食竜の甲殻,3,のりこねバッタ,2
スキュラメイル,0,1,2,1,2,4,19,121,-2,2,-2,1,2,観察眼,3,腹減り,-2,高速設置,1,睡眠,1,,,影蜘蛛の棘,1,影蜘蛛の鋏角,2,影蜘蛛の甲殻,1,竜骨【中】,3
スキュラレジスト,0,2,2,1,2,4,9,75,-1,3,-1,2,3,観察眼,2,腹減り,-2,高速設置,2,睡眠,1,,,影蜘蛛の棘,1,影蜘蛛の鋏角,2,影蜘蛛の甲殻,1,竜骨【中】,3
ザボアメイル,0,1,2,1,2,4,20,122,-2,2,-3,2,0,体力,2,氷属性攻撃,1,肉食,3,腹減り,-2,,,化け鮫の皮,3,化け鮫のヒレ,2,化け鮫の鱗,2,肉厚な皮,3
ザボアレジスト,0,2,2,1,2,4,10,76,-1,3,-2,3,1,体力,2,氷属性攻撃,1,肉食,3,腹減り,-2,,,化け鮫の皮,3,化け鮫のヒレ,2,化け鮫の鱗,2,肉厚な皮,3
ガララメイル,0,1,2,1,2,4,20,122,1,-2,0,-4,1,捕獲,1,聴覚保護,3,気まぐれ,-2,麻痺,1,,,絞蛇竜の鳴甲,2,絞蛇竜の皮,3,絞蛇竜の甲殻,3,ゲネポスの皮,3
