#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーヘッド,0,0,1,1,1,1,1,71,-1,0,0,0,1,採取,2,気まぐれ,3,,,,,,,暖かい毛皮,1,鉄鉱石,1,,,,
ブレイブヘッド,0,0,1,1,1,1,1,71,2,0,0,0,1,体力,-1,回復速度,3,乗り,2,,,,,竜骨【小】,1,,,,,,
チェーンヘッド,0,0,1,1,1,1,4,73,2,1,-2,1,0,体力,1,腹減り,1,,,,,,,大地の結晶,1,鉄鉱石,1,,,,
ハンターヘルム,0,0,1,1,1,1,6,112,0,1,-3,0,0,調合成功率,2,狩人,2,毒,-2,,,,,マカライト鉱石,1,鉄鉱石,1,のりこねバッタ,2,,
ハンターキャップ,0,0,1,1,1,1,3,72,1,2,-2,1,1,調合成功率,3,狩人,2,毒,-2,,,,,マカライト鉱石,1,鉄鉱石,1,のりこねバッタ,2,,
ボーンヘルム,0,0,1,0,1,2,7,113,1,0,-1,-2,0,KO,1,笛,1,,,,,,,なぞの骨,2,なぞの頭骨,1,甲虫の大顎,1,,
ボーンキャップ,0,0,1,0,1,2,4,73,2,1,0,-1,1,KO,1,笛,1,,,,,,,なぞの骨,2,なぞの頭骨,1,甲虫の大顎,1,,
アロイヘルム,0,0,1,1,1,1,8,114,-1,1,-2,-1,0,防御,2,採取,-2,風圧,2,,,,,マカライト鉱石,3,大地の結晶,2,鉄鉱石,3,,
アロイキャップ,0,0,1,1,1,1,4,73,0,2,-1,0,1,採取,-1,散弾強化,2,散弾追加,2,,,,,マカライト鉱石,3,大地の結晶,2,鉄鉱石,3,,
ブナハハット,0,0,2,0,1,2,10,116,-4,-1,2,-1,2,攻撃,-2,特殊攻撃,2,納刀,1,麻痺,2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,雷光虫,1,のりこねバッタ,2
ブナハキャップ,0,0,2,0,1,2,5,73,-3,0,3,0,3,攻撃,-2,特殊攻撃,3,納刀,2,麻痺,2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,雷光虫,1,のりこねバッタ,2
ズワロフード,0,0,2,2,2,3,10,116,-2,2,0,-1,1,体力,2,回復速度,5,睡眠,-1,,,,,垂皮竜の皮,2,マカライト鉱石,4,暖かい毛皮,3,,
ズワロフッド,0,0,2,3,2,3,5,73,-1,3,1,0,2,体力,2,回復速度,4,睡眠,-1,,,,,垂皮竜の皮,2,マカライト鉱石,4,暖かい毛皮,3,,
リノプロヘルム,0,0,2,1,1,3,8,114,1,-1,-1,-1,1,KO,1,気絶,-2,耐泥耐雪,1,,,,,草食竜の頭殻,1,草食竜の甲殻,2,鉄鉱石,2,,
リノプロキャップ,0,0,2,1,1,3,4,73,2,0,0,0,2,KO,2,気絶,-2,耐泥耐雪,2,,,,,草食竜の頭殻,1,草食竜の甲殻,2,鉄鉱石,2,,
ガブラスヘッド,0,0,2,1,3,99,15,117,1,-2,2,1,-3,属性解放,1,属性耐性,-2,毒,4,,,,,翼蛇竜の頭,1,火竜の翼膜,3,モンスターの体液,2,蟲のコイン,1
ガブラスフェイス,0,0,2,1,3,99,8,74,2,-1,3,2,-2,属性解放,1,属性耐性,-2,毒,4,,,,,翼蛇竜の頭,1,火竜の翼膜,3,モンスターの体液,2,蟲のコイン,1
ジャギィヘルム,0,0,2,2,1,2,10,116,-2,0,0,0,1,研ぎ師,1,効果持続,-1,気絶,1,,,,,狗竜の皮,3,狗竜の爪,1,ジャギィの鱗,2,鉄鉱石,3
ジャギィキャップ,0,0,2,1,1,2,5,73,-1,1,1,1,2,装填速度,2,効果持続,-1,気絶,2,,,,,狗竜の皮,3,狗竜の爪,1,ジャギィの鱗,2,鉄鉱石,3
ゲネポスヘルム,0,0,2,1,2,3,12,116,1,1,-2,-3,2,特殊攻撃,2,麻痺,1,,,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,3,鉄鉱石,4,竜骨【小】,2
ゲネポスキャップ,0,0,2,2,2,3,6,73,2,2,-1,-2,3,特殊攻撃,1,麻痺,1,,,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,3,鉄鉱石,4,竜骨【小】,2
イーオスヘルム,0,0,2,2,3,5,15,117,0,-3,-3,2,2,特殊攻撃,2,毒,2,気絶,-2,,,,,ドスイーオスの皮,3,イーオスの皮,2,イーオスの鱗,4,鉄鉱石,2
イーオスキャップ,0,0,2,2,3,5,8,74,1,-2,-2,3,3,特殊攻撃,2,毒,3,気絶,-2,,,,,ドスイーオスの皮,3,イーオスの皮,2,イーオスの鱗,4,鉄鉱石,2
ウルクヘルム,0,0,2,3,2,4,15,117,-2,2,-1,2,2,回避距離,2,耐暑,-1,耐寒,2,,,,,白兎獣の耳,2,大きな骨,2,狗竜の皮,4,氷結晶,2
ウルクキャップ,0,0,2,3,2,4,8,74,-1,3,0,3,3,回避距離,2,耐暑,-1,耐寒,2,,,,,白兎獣の耳,2,大きな骨,2,狗竜の皮,4,氷結晶,2
ケチャヘルム,0,0,2,0,1,3,14,116,-3,2,-2,0,2,運気,-2,水属性攻撃,3,気まぐれ,2,,,,,奇猿狐の毛,3,奇猿狐の尻尾,1,大きな骨,2,のりこねバッタ,2
ケチャキャップ,0,0,2,0,1,3,7,74,-2,3,-1,1,3,運気,-1,水属性攻撃,3,気まぐれ,2,,,,,奇猿狐の毛,3,奇猿狐の尻尾,1,大きな骨,2,のりこねバッタ,2
