#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーパンツ,0,0,1,0,1,1,1,71,-1,0,0,0,1,採取,1,気まぐれ,3,,,,,,,暖かい毛皮,2,,,,,,
ブレイブパンツ,0,0,1,0,1,1,1,71,2,0,0,0,1,体力,-2,回復速度,2,乗り,4,,,,,竜骨【小】,1,,,,,,
チェーンパンツ,0,0,1,1,1,1,4,73,2,1,-2,1,0,体力,2,腹減り,2,,,,,,,鉄鉱石,2,暖かい毛皮,1,,,,
ハンターグリーヴ,0,1,1,0,1,1,6,112,0,1,-3,0,0,調合成功率,1,狩人,3,毒,-2,,,,,鉄鉱石,1,大地の結晶,1,竜骨【小】,2,,
ハンターレギンス,0,2,1,0,1,1,3,72,1,2,-2,1,1,調合成功率,1,狩人,3,毒,-2,,,,,鉄鉱石,1,大地の結晶,1,竜骨【小】,2,,
ボーングリーヴ,0,1,1,1,1,3,7,113,1,0,-1,-2,0,KO,2,笛,4,,,,,,,なぞの骨,2,竜骨【中】,1,とがった牙,1,,
ボーンレギンス,0,2,1,1,1,3,4,73,2,1,0,-1,1,KO,2,笛,4,,,,,,,なぞの骨,2,竜骨【中】,1,とがった牙,1,,
アロイグリーヴ,0,1,1,0,1,1,8,114,-1,1,-2,-1,0,胴系統倍加,1,,,,,,,,,マカライト鉱石,4,大地の結晶,2,鉄鉱石,2,,
アロイレギンス,0,2,1,0,1,1,4,73,0,2,-1,0,1,胴系統倍加,1,,,,,,,,,マカライト鉱石,4,大地の結晶,2,鉄鉱石,2,,
ロックラックブーツ,0,0,1,2,1,2,5,73,2,-3,1,0,0,耐暑,2,運搬,5,,,,,,,鋼のたまご,1,モンスターの体液,1,ジャギィの鱗,3,,
ブナハブーツ,0,1,2,0,1,2,10,116,-4,-1,2,-1,2,攻撃,-1,特殊攻撃,3,納刀,2,麻痺,2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,雷光虫,2,のりこねバッタ,2
ブナハフット,0,2,2,0,1,2,5,73,-3,0,3,0,3,攻撃,-1,特殊攻撃,3,納刀,1,麻痺,2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,雷光虫,2,のりこねバッタ,2
リノプログリーヴ,0,1,2,0,1,3,8,114,1,-1,-1,-1,1,KO,3,気絶,-1,耐泥耐雪,3,,,,,草食竜の甲殻,2,竜骨【小】,4,鉄鉱石,2,,
リノプロレギンス,0,2,2,0,1,3,4,73,2,0,0,0,2,KO,2,気絶,-1,耐泥耐雪,3,,,,,草食竜の甲殻,2,竜骨【小】,4,鉄鉱石,2,,
ガブラスーツフット,0,1,2,3,3,99,15,117,1,-2,2,1,-3,属性解放,1,属性耐性,-2,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,2,蟲のコイン,1
ガブラスーツタイツ,0,2,2,3,3,99,8,74,2,-1,3,2,-2,属性解放,1,属性耐性,-2,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,2,蟲のコイン,1
